row_id,source,report_date,status_id,water_source,water_tech,install_year,installer,fecal_coliform_value,fecal_coliform_presence,activity_id,clean_country_id,clean_country_name,clean_adm1,water_source_clean,water_source_category,water_tech_clean,_facility_type,management_clean,status_clean,count,updated,pay_clean,subjective_quality_clean,dataset_title
754,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,No,Protected spring,,1984,,,,010-00426,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
4426,"Ministry of Water and Environment, Uganda",2010-06-17T00:00:00.000,Yes,Kiosk,,2003,,,,010-00516,UGA,Uganda,Northern,,,Kiosk,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
2241,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Protected spring,,2000,,,,010-00474,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
1585,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Protected spring,,1995,,,,010-00457,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
490,Water For People,2020-02-21T00:00:00.000,Yes,,Protected deep borehole,,,,,,UGA,Uganda,Eastern,Borehole/Tubewell,Well,,Improved,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
394,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Protected spring,,1990,,,,010-00404,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
5274,"Ministry of Water and Environment, Uganda",2010-06-17T00:00:00.000,Yes,Protected spring,,1997,,,,010-00536,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
1151,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,No,Protected spring,,1983,,,,010-00446,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
6006,"Ministry of Water and Environment, Uganda",2010-04-27T00:00:00.000,Yes,Deep borehole,,1994,,,,010-00543,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
570,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,No,Shallow well,,2000,,,,010-00413,UGA,Uganda,Northern,Undefined Well,Well,,Unknown,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
1721,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Rainwater Harvest Tank,,2006,,,,010-00461,UGA,Uganda,Northern,Rainwater Harvesting,Rainwater Harvesting,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
4070,"Ministry of Water and Environment, Uganda",2010-06-17T00:00:00.000,No,Protected spring,,1960,,,,010-00513,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
